,setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
93,93,dummy,7vd1j4IDTU0koES9M8dvBQ,0.56,0.0519,8,-22.616,1,0.0423,0.99,0.905,0.117,0.182,132.691
94,94,dummy,5WKDDrq02f0mH3G1ZYmozK,0.576,0.567,7,-10.271,0,0.0311,0.826,0.863,0.0835,0.496,160.009
95,95,dummy,3hlksXnvbKogFdPbpO9vel,0.723,0.86,11,-4.357,1,0.203,0.271,4.56e-06,0.598,0.667,126.979
96,96,dummy,1KDYN3odJHnj9pqGHN3FVs,0.488,0.909,10,-6.591,1,0.0929,0.0011,1.02e-05,0.456,0.643,129.774
97,97,dummy,43d83eCd7GzmVOKsLwV3QN,0.235,0.161,8,-16.538,1,0.0316,0.927,0.204,0.104,0.0992,147.887
98,98,dummy,0ifSeVGUr7py5GggttDhXw,0.811,0.879,9,-3.724,1,0.0514,0.0476,1.91e-06,0.109,0.962,134.064
99,99,dummy,4rwpZEcnalkuhPyGkEdhu0,0.523,0.944,7,-3.581,0,0.0837,0.00336,0.557,0.119,0.324,139.997
100,100,dummy,3dHplTfMkFKXUdKB3b0QzK,0.51,0.556,0,-6.684,1,0.0262,0.188,0.0,0.144,0.403,150.215
101,101,dummy,3UFwpaiegbEuX6QfIQItcj,0.533,0.394,7,-7.338,1,0.0254,0.776,4.45e-05,0.0881,0.174,129.918
102,102,dummy,0BUTQPj4ChPjdgfuWLwNi7,0.567,0.336,8,-8.224,1,0.0244,0.774,0.0,0.113,0.434,86.091
103,103,dummy,7sbDrN59QwYcmGfDHYvSSe,0.51,0.626,0,-5.364,1,0.025,0.585,0.0,0.141,0.408,144.023
104,104,dummy,6cTdoyPRztSAYPApu47x0V,0.258,0.545,4,-5.062,0,0.0288,0.599,0.00788,0.163,0.177,143.96
105,105,dummy,2l7JL1Fr7QzBXrz7BLwyy4,0.729,0.789,1,-4.301,1,0.033,0.33,0.0,0.0789,0.946,103.981
106,106,dummy,3oXW35fP5nvbgeo70aB2fe,0.623,0.402,0,-8.673,1,0.0255,0.833,2.01e-06,0.147,0.213,94.995
107,107,dummy,0ExAkPPF8XxSi6tdq2B2Tq,0.512,0.844,9,-8.151,0,0.0558,0.026,3.21e-05,0.0643,0.188,156.037
108,108,dummy,6SZKOvCjuvQMWfyIJZmXnl,0.684,0.67,9,-6.441,0,0.0354,0.144,0.0143,0.0521,0.953,160.604
109,109,dummy,0OjiV7FpVCrOIq53ZSH1EM,0.646,0.801,9,-4.355,1,0.0408,0.41,0.0,0.0835,0.607,87.991
110,110,dummy,3WOclaOiwYnnN2vfmPFCzN,0.353,0.564,8,-5.942,0,0.0296,0.643,0.0,0.118,0.246,139.831
111,111,dummy,3jMXORZIqN8biiXVJXP3vk,0.703,0.436,5,-8.935,0,0.0263,0.275,0.0,0.0635,0.84,96.003
112,112,dummy,4lWTmfcJM1Y9qbq3jdC5WN,0.78,0.254,2,-10.213,0,0.263,0.971,0.0,0.0859,0.73,113.426
113,113,dummy,61c617r7vrvp3jaTnCYBYH,0.543,0.594,4,-5.341,0,0.0278,0.064,0.0,0.14,0.279,134.909
114,114,dummy,6OzyK08svJmVBZGgKXi6Ni,0.476,0.731,4,-7.499,1,0.0451,0.291,0.00141,0.0952,0.356,154.989
115,115,dummy,6lU6JCbrzcWQlLvGWkdB5J,0.519,0.618,4,-5.977,0,0.0277,0.13,0.00021,0.0931,0.155,111.203
116,116,dummy,5A2GQWaNxwyEqpijbz0dIF,0.775,0.825,7,-5.018,1,0.0381,0.0745,0.00264,0.355,0.637,120.008
117,117,dummy,67Z8EpahRJNHRpa0BeF2yZ,0.325,0.369,5,-6.852,0,0.032,0.797,0.000103,0.384,0.314,127.926
118,118,dummy,79WTjACR1m9EvObVwNyZVB,0.515,0.805,9,-7.017,1,0.0714,0.0965,0.000945,0.29,0.61,154.789
119,119,dummy,1Ib0UNLoqBEWTmBvXeFSni,0.655,0.694,7,-7.244,1,0.0358,0.0575,0.0,0.0696,0.78,145.857
120,120,dummy,2apYO6OvfixFnnDOo9UO15,0.553,0.373,10,-10.566,0,0.0283,0.85,0.000138,0.123,0.421,91.421
121,121,dummy,2QnE7730DDBZjlwzwuo2l8,0.586,0.607,7,-6.7,0,0.0292,0.00389,0.0,0.17,0.278,122.171
122,122,dummy,13N0XggsxWgpDKGWRp0MJU,0.644,0.677,10,-7.154,1,0.0249,0.000137,0.0764,0.243,0.467,106.047
123,123,dummy,3zxacdqmRzrSezEJfHgCe7,0.408,0.424,7,-7.644,0,0.0261,0.443,0.0,0.353,0.05,94.073
124,124,dummy,05BylbuBX4Lc6pJq2mSRZ1,0.556,0.736,7,-5.183,1,0.0353,0.0662,1.61e-06,0.163,0.59,95.117
125,125,dummy,0i1f9NSylLUfLx4GdjzhV6,0.734,0.336,9,-10.753,0,0.0342,0.585,3.64e-06,0.127,0.42,113.048
126,126,dummy,1wr4pw2q9xIvbAEsL7OlDd,0.406,0.28,2,-9.296,0,0.0333,0.978,0.0385,0.112,0.437,122.023
127,127,dummy,1N0AdGaWQvw8lVtEkf5bO9,0.464,0.306,0,-8.825,1,0.071,0.823,0.0,0.065,0.422,127.842
128,128,dummy,4p6xGjQezLdealrHIIXb6w,0.338,0.421,9,-6.437,1,0.0332,0.839,1.65e-05,0.101,0.388,129.815
129,129,dummy,5qCFwRlSV9Z8S35EYuQvDM,0.341,0.651,5,-5.194,1,0.0396,0.622,8.21e-05,0.282,0.384,131.084
130,130,dummy,7cQ3tDozjKpkk08aiwbkaC,0.467,0.482,9,-8.973,0,0.0326,0.142,0.00334,0.154,0.41,80.156
131,131,dummy,3J0O4cbc1sYMf4x5RHzKWa,0.33,0.558,8,-6.747,0,0.0344,0.442,5.29e-05,0.143,0.605,181.351
132,132,dummy,6INqPZi3cbRJONuY6Q8MGI,0.488,0.473,9,-5.386,1,0.0275,0.676,1.59e-05,0.261,0.261,134.986
133,133,dummy,3Qiv7UhkqYeBExD6gZ1m3k,0.451,0.303,3,-11.871,1,0.0296,0.809,3.61e-06,0.0933,0.247,123.77
